phase,agent,profile,seed,episode,reward,accuracy,final_true_mastery,final_est_mastery,time_to_mastery
train,random,beginner,0,0,-4.90818920135498,0.2,2.77115535736084,2.699181079864502,12
train,random,beginner,0,1,13.241263961791994,0.4,2.6548733711242676,4.164126396179199,13
train,random,beginner,0,2,-9.624236202239992,0.2,3.1241495609283447,2.347576379776001,31
train,random,beginner,0,3,5.0076751708984375,0.23333333333333334,2.517153263092041,3.7007675170898438,26
train,random,beginner,0,4,11.92076005935669,0.3333333333333333,2.991755247116089,3.902076005935669,31
train,random,beginner,0,5,10.889205074310304,0.3333333333333333,3.0422682762145996,3.9289205074310303,31
train,random,beginner,0,6,-11.507465839385986,0.1,2.553912878036499,2.3492534160614014,31
train,random,beginner,0,7,10.889103889465332,0.3333333333333333,2.6443800926208496,4.038910388946533,30
train,random,beginner,0,8,19.766007804870608,0.36666666666666664,2.7362496852874756,4.5866007804870605,12
train,random,beginner,0,9,6.822975540161135,0.3333333333333333,2.8156018257141113,3.5922975540161133,9
train,random,beginner,0,10,9.022712802886963,0.3,3.379187822341919,3.8922712802886963,31
train,random,beginner,0,11,-3.9522279739379886,0.16666666666666666,2.9460630416870117,2.744777202606201,31
train,random,beginner,0,12,-4.62451696395874,0.16666666666666666,2.455477714538574,2.787548303604126,31
train,random,beginner,0,13,6.073612022399903,0.3,3.0735654830932617,3.4773612022399902,19
train,random,beginner,0,14,3.1873844146728514,0.2,2.302095413208008,3.588738441467285,31
train,random,beginner,0,15,20.434035491943362,0.43333333333333335,2.47952938079834,4.623403549194336,15
train,random,beginner,0,16,-6.18021297454834,0.13333333333333333,2.2316370010375977,2.931978702545166,31
train,random,beginner,0,17,6.886193466186526,0.36666666666666664,2.77215576171875,3.4686193466186523,10
train,random,beginner,0,18,15.671879768371582,0.3333333333333333,2.6064274311065674,4.367187976837158,25
train,random,beginner,0,19,10.207127380371094,0.26666666666666666,2.4225447177886963,4.140712738037109,29
train,random,beginner,0,20,-9.214709281921387,0.16666666666666666,2.5350797176361084,2.3785290718078613,31
train,random,beginner,0,21,14.586953735351564,0.3333333333333333,2.8348562717437744,4.248695373535156,20
train,random,beginner,0,22,-21.54588484764099,0.0,2.3629074096679688,1.7454115152359009,31
train,random,beginner,0,23,3.4081707954406752,0.26666666666666666,2.850857734680176,3.2308170795440674,19
train,random,beginner,0,24,4.6102000236511245,0.23333333333333334,2.6228017807006836,3.4510200023651123,31
train,random,beginner,0,25,12.921060562133789,0.3333333333333333,3.4033517837524414,4.142106056213379,21
train,random,beginner,0,26,10.971205711364746,0.3,2.640307903289795,4.047120571136475,24
train,random,beginner,0,27,-5.008225440979004,0.2,2.1415302753448486,2.7491774559020996,31
train,random,beginner,0,28,6.845641613006592,0.26666666666666666,2.6438217163085938,3.634564161300659,24
train,random,beginner,0,29,-8.110262870788574,0.13333333333333333,2.121265411376953,2.6389737129211426,31
train,random,beginner,0,30,3.300433731079103,0.26666666666666666,2.710871934890747,3.27004337310791,26
train,random,beginner,0,31,7.572207927703857,0.3,2.765507221221924,3.7072207927703857,23
train,random,beginner,0,32,-7.695092391967773,0.16666666666666666,2.1274185180664062,2.4004907608032227,31
train,random,beginner,0,33,5.577203083038331,0.26666666666666666,2.3546648025512695,3.677720308303833,24
train,random,beginner,0,34,14.292215728759768,0.3,2.9005489349365234,4.239221572875977,22
train,random,beginner,0,35,-8.213268947601318,0.13333333333333333,2.2422738075256348,2.598673105239868,31
train,random,beginner,0,36,4.464649200439453,0.2,2.2084193229675293,3.7964649200439453,31
train,random,beginner,0,37,-3.7997581481933596,0.16666666666666666,2.560244083404541,2.890024185180664,31
train,random,beginner,0,38,11.802304649353026,0.3,2.5054264068603516,4.090230464935303,30
train,random,beginner,0,39,9.450300025939942,0.3,2.456580400466919,3.915030002593994,31
train,random,beginner,0,40,29.55834655761719,0.43333333333333335,2.4981777667999268,5.675834655761719,19
train,random,beginner,0,41,-6.374962711334229,0.16666666666666666,2.162313222885132,2.652503728866577,31
train,random,beginner,0,42,3.6590974807739265,0.23333333333333334,1.6578309535980225,3.4359097480773926,18
train,random,beginner,0,43,15.684487915039064,0.3333333333333333,3.0249202251434326,4.308448791503906,26
train,random,beginner,0,44,0.4001057624816893,0.23333333333333334,2.498573064804077,3.160010576248169,31
train,random,beginner,0,45,2.0114006042480472,0.3333333333333333,2.525052547454834,3.0611400604248047,8
train,random,beginner,0,46,13.8219633102417,0.3,2.0275979042053223,4.23219633102417,25
train,random,beginner,0,47,7.419027614593507,0.3,2.60259747505188,3.5619027614593506,24
train,random,beginner,0,48,12.299181747436524,0.4,3.0440993309020996,4.049918174743652,25
train,random,beginner,0,49,-6.841382884979248,0.13333333333333333,2.5313303470611572,2.555861711502075,31
train,random,beginner,0,50,-14.87248420715332,0.03333333333333333,2.1749861240386963,2.262751579284668,31
train,random,beginner,0,51,4.963204002380371,0.23333333333333334,2.836393356323242,3.586320400238037,17
train,random,beginner,0,52,9.0199556350708,0.26666666666666666,3.054680109024048,4.00199556350708,30
train,random,beginner,0,53,-0.12674283981323242,0.23333333333333334,2.034658670425415,2.9373257160186768,31
train,random,beginner,0,54,-4.567541790008545,0.16666666666666666,2.6508700847625732,2.7632458209991455,31
train,random,beginner,0,55,8.20765953063965,0.26666666666666666,2.186728000640869,3.840765953063965,31
train,random,beginner,0,56,9.554092502593996,0.3333333333333333,2.5704782009124756,3.7454092502593994,18
train,random,beginner,0,57,12.89948673248291,0.3333333333333333,2.752117872238159,4.069948673248291,21
train,random,beginner,0,58,-0.2590522766113281,0.23333333333333334,2.42378306388855,3.074094772338867,31
train,random,beginner,0,59,25.838347625732425,0.5,2.7340707778930664,4.963834762573242,9
train,random,beginner,0,60,9.454428291320802,0.3,2.9429986476898193,3.78544282913208,31
train,random,beginner,0,61,0.6585936546325684,0.2,2.206291675567627,3.265859365463257,31
train,random,beginner,0,62,24.47462501525879,0.4,3.073806047439575,5.257462501525879,24
train,random,beginner,0,63,-5.116546154022217,0.16666666666666666,2.6369409561157227,2.7383453845977783,31
train,random,beginner,0,64,12.17121353149414,0.3333333333333333,2.19291353225708,3.977121353149414,31
train,random,beginner,0,65,13.6638147354126,0.3333333333333333,2.5208311080932617,4.04638147354126,19
train,random,beginner,0,66,4.473502159118652,0.26666666666666666,2.5372254848480225,3.4973502159118652,31
train,random,beginner,0,67,12.100119590759277,0.3333333333333333,2.6167924404144287,4.210011959075928,30
